step,preco,acao,saldo,lucro_acumulado
0,1.9658,SELL,9995.0,-5.0
4,1.9922,BUY,10045.863534605236,45.863534605236055
5,1.9947,BUY,10059.204514463132,59.204514463132
6,1.9817,BUY,10111.542204674877,111.54220467487721
7,1.9813,BUY,10086.912703398762,86.91270339876246
8,1.9819,BUY,10113.594663114553,113.59466311455253
9,1.9765,BUY,10145.407768929535,145.40776892953545
10,1.9682,BUY,10119.752038433582,119.75203843358213
12,1.9581,CLOSE,10115.64712155423,115.64712155422967
13,1.9827,BUY,10105.56636622615,105.56636622615042
14,1.9702,BUY,10081.402874981259,81.40287498125872
15,1.9705,BUY,10120.475754441084,120.47575444108406
16,1.9621,CLOSE,10049.013514376404,49.01351437640369
17,1.9539,CLOSE,10043.958203537872,43.95820353787167
18,1.9691,SELL,10038.936224436102,38.93622443610184
19,1.9632,CLOSE,10037.926019939894,37.926019939894104
20,1.9694,CLOSE,10032.904040838124,32.904040838124274
21,1.968,CLOSE,10032.904040838124,32.904040838124274
22,1.9683,CLOSE,10032.904040838124,32.904040838124274
23,1.9567,CLOSE,10032.904040838124,32.904040838124274
24,1.9445,CLOSE,10032.904040838124,32.904040838124274
25,1.9363,CLOSE,10032.904040838124,32.904040838124274
26,1.9391,CLOSE,10032.904040838124,32.904040838124274
27,1.9515,CLOSE,10032.904040838124,32.904040838124274
28,1.9323,CLOSE,10032.904040838124,32.904040838124274
29,1.944,CLOSE,10032.904040838124,32.904040838124274
30,1.9552,CLOSE,10032.904040838124,32.904040838124274
31,1.9708,CLOSE,10032.904040838124,32.904040838124274
32,1.9651,CLOSE,10032.904040838124,32.904040838124274
33,1.9805,CLOSE,10032.904040838124,32.904040838124274
35,1.9588,CLOSE,10032.904040838124,32.904040838124274
36,1.9614,CLOSE,10032.904040838124,32.904040838124274
37,1.9716,SELL,10027.887588817704,27.887588817704454
38,1.9668,CLOSE,10095.937808235887,95.93780823588713
39,1.972,SELL,10085.87589553736,85.87589553735961
40,1.9782,CLOSE,10076.314857001076,76.31485700107623
41,1.9732,SELL,10066.233761624808,66.23376162480781
42,1.9525,SELL,10031.556242816263,31.556242816262966
43,1.9724,SELL,10102.951134480914,102.95113448091433
44,1.9666,SELL,10218.71285168003,218.71285168002942
45,1.9619,SELL,10231.97190298918,231.9719029891803
46,1.9695,SELL,10255.430224536136,255.43022453613594
47,1.9556,SELL,10176.895843705019,176.8958437050187
48,1.9576,SELL,10226.362304358385,226.3623043583848
49,1.9885,SELL,10196.274457156853,196.2744571568528
50,1.9887,SELL,10213.103253049236,213.10325304923572
51,1.9805,SELL,10187.095113942827,187.09511394282708
52,1.9991,SELL,10158.027193765074,158.02719376507412
53,1.9959,SELL,10206.473727394661,206.47372739466118
54,2.0175,CLOSE,10206.98369090655,206.9836909065507
55,2.0186,SELL,10196.847082180286,196.84708218028572
56,2.0162,SELL,10195.286833191265,195.28683319126503
60,1.9769,HOLD,10173.443347344979,173.44334734497897
61,1.9872,BUY,10197.046694194945,197.0466941949453
62,1.9683,BUY,10162.685510652733,162.68551065273277
63,1.9774,BUY,10123.638711172944,123.63871117294366
64,1.9986,BUY,10219.43352589669,219.4335258966894
65,1.9976,BUY,10193.402326243498,193.40232624349846
66,2.0117,SELL,10148.342735101769,148.342735101769
67,2.0103,BUY,10187.059478787094,187.05947878709412
68,2.0051,CLOSE,10221.159237443504,221.15923744350403
70,2.0053,CLOSE,10216.063159665222,216.06315966522197
71,2.0072,CLOSE,10216.063159665222,216.06315966522197
72,1.9749,CLOSE,10216.063159665222,216.06315966522197
73,1.9817,CLOSE,10216.063159665222,216.06315966522197
74,1.9677,CLOSE,10216.063159665222,216.06315966522197
76,1.9424,CLOSE,10216.063159665222,216.06315966522197
78,1.9532,SELL,10210.95512808539,210.95512808539024
79,1.9435,CLOSE,10195.498102929552,195.49810292955226
80,1.9494,BUY,10185.294876314045,185.2948763140448
81,1.9461,BUY,10142.584055937232,142.58405593723182
84,1.9474,CLOSE,10091.125236206131,91.12523620613138
85,1.9473,BUY,10080.98702614987,80.98702614987087
86,1.9616,CLOSE,10099.871855436006,99.87185543600572
87,1.9619,CLOSE,10094.828840415421,94.82884041542093
88,1.9633,CLOSE,10094.828840415421,94.82884041542093
89,1.9686,SELL,10089.781425995214,89.7814259952138
90,1.9602,SELL,10050.719922412321,50.719922412321466
91,1.9661,BUY,10083.801325919861,83.80132591986148
92,1.9596,BUY,10135.702381317826,135.7023813178257
93,1.953,CLOSE,9999.012473042001,-0.9875269579988526
94,1.9455,BUY,9988.971066142522,-11.028933857478478
95,1.9639,BUY,9960.47017208677,-39.52982791322938
96,1.9589,SELL,10042.68858896498,42.68858896498023
97,1.9522,SELL,10118.270330270427,118.27033027042671
98,1.9428,SELL,10171.591695711939,171.59169571193888
99,1.9493,SELL,10216.112447439804,216.11244743980387
100,1.9471,SELL,10213.006348482046,213.00634848204572
101,1.9731,SELL,10361.063732135179,361.0637321351787
102,1.9857,SELL,10386.947890116495,386.9478901164948
103,1.9989,CLOSE,10486.343056764752,486.34305676475196
104,1.9889,CLOSE,10481.319200542159,481.3192005421588
105,1.9789,CLOSE,10481.319200542159,481.3192005421588
106,1.9627,SELL,10476.078540941888,476.0785409418877
107,1.9664,CLOSE,10452.089999020272,452.08999902027244
108,1.9757,CLOSE,10446.849339420001,446.84933942000134
109,1.9828,CLOSE,10446.849339420001,446.84933942000134
110,1.9858,CLOSE,10446.849339420001,446.84933942000134
111,1.9803,BUY,10441.625914750291,441.6259147502915
112,1.972,CLOSE,10449.303389330444,449.3033893304437
113,1.9638,BUY,10438.857924678403,438.8579246784029
114,1.9616,BUY,10440.500936733672,440.50093673367155
116,1.9761,BUY,10372.589771782548,372.58977178254827
117,1.9798,BUY,10351.778285749138,351.7782857491384
118,1.9666,CLOSE,10382.995514799253,382.9955147992532
119,1.9646,CLOSE,10377.773474816922,377.7734748169223
120,1.9641,CLOSE,10377.773474816922,377.7734748169223
121,1.9717,BUY,10372.584588079513,372.5845880795132
123,1.9734,CLOSE,10442.274268829557,442.2742688295566
124,1.9468,CLOSE,10437.085382092147,437.0853820921475
125,1.9286,CLOSE,10437.085382092147,437.0853820921475
126,1.9231,CLOSE,10437.085382092147,437.0853820921475
127,1.9409,CLOSE,10437.085382092147,437.0853820921475
128,1.9263,CLOSE,10437.085382092147,437.0853820921475
130,1.9074,CLOSE,10437.085382092147,437.0853820921475
131,1.908,CLOSE,10437.085382092147,437.0853820921475
132,1.8794,HOLD,10437.085382092147,437.0853820921475
133,1.8744,SELL,10431.866839401102,431.86683940110197
136,1.8656,CLOSE,10549.423546964374,549.4235469643736
137,1.8788,CLOSE,10544.205004273328,544.2050042733281
138,1.8831,CLOSE,10544.205004273328,544.2050042733281
139,1.8837,BUY,10538.932901771192,538.9329017711916
140,1.8904,SELL,10542.340259497425,542.340259497425
141,1.8906,BUY,10557.43346673155,557.4334667315507
142,1.905,CLOSE,10608.36913781401,608.3691378140102
143,1.9064,CLOSE,10603.087780401938,603.0877804019383
144,1.907,SELL,10597.786236511738,597.786236511738
145,1.9073,CLOSE,10616.202125814541,616.2021258145414
148,1.8911,HOLD,10610.900581924341,610.9005819243412
149,1.8968,SELL,10605.59513163338,605.5951316333794
150,1.8954,SELL,10611.150286118445,611.1502861184454
151,1.8899,CLOSE,10563.931472995386,563.9314729953858
152,1.9061,SELL,10553.346709693073,553.3467096930726
153,1.9083,SELL,10420.862257593746,420.8622575937461
154,1.9189,BUY,10343.891321596964,343.8913215969642
155,1.938,SELL,10389.04891674722,389.0489167472206
156,1.9251,CLOSE,10269.647696609609,269.64769660960883
160,1.921,SELL,10259.318348302932,259.31834830293155
161,1.9195,SELL,10098.571839468432,98.57183946843179
162,1.9342,SELL,10145.7309098836,145.73090988359945
163,1.9261,SELL,10113.277356049506,113.27735604950612
164,1.9266,SELL,9967.23636379608,-32.763636203919305
165,1.915,SELL,9832.858367451783,-167.14163254821688
166,1.9199,SELL,9851.113491483462,-148.88650851653802
167,1.9049,SELL,9906.385950357153,-93.61404964284702
168,1.9071,SELL,9924.641074388832,-75.35892561116816
169,1.8945,SELL,9928.190681839435,-71.80931816056545
170,1.8892,SELL,9886.609565989502,-113.39043401049821
171,1.8917,SELL,9976.363925811918,-23.636074188081693
172,1.8871,SELL,10068.653719527627,68.65371952762689
173,1.8962,SELL,9998.168657294202,-1.8313427057983063
174,1.906,SELL,9975.856839033262,-24.143160966737923
175,1.9,SELL,9947.967066207088,-52.032933792912445
176,1.8967,BUY,9962.698252027982,-37.30174797201835
177,1.8949,BUY,10037.430717377123,37.430717377123074
178,1.9023,BUY,10026.412469280775,26.41246928077453
179,1.9048,SELL,9892.883711535193,-107.11628846480744
180,1.9101,SELL,9844.069335360713,-155.930664639287
182,1.9176,SELL,9990.033891568719,-9.9661084312811
184,1.9448,SELL,9934.998075293568,-65.00192470643196
185,1.9569,SELL,9917.290899622434,-82.70910037756585
186,1.9674,SELL,9908.676597944583,-91.32340205541732
187,1.99,SELL,9975.198149790198,-24.80185020980207
188,1.9862,HOLD,9936.912364555312,-63.0876354446882
190,2.0227,SELL,10019.22680281032,19.226802810320805
191,2.0242,SELL,10120.205561367333,120.20556136733285
192,2.0559,HOLD,10047.46256942105,47.46256942104992
193,2.0466,BUY,9998.269087879746,-1.7309121202542883
194,2.053,BUY,9971.842953196754,-28.157046803245976
195,2.0818,BUY,9998.269087879746,-1.7309121202542883
196,2.1083,CLOSE,9951.778665752263,-48.221334247737104
197,2.1047,BUY,9941.803641875447,-58.19635812455272
