data,par,preco,adx,sinal,confianca
22:41:39,1764294099.596628,SQDUSDT,0.08454,32.7,NEUTRO,41.9
22:41:39,1764294099.604179,SQDUSDT,0.08448,32.7,NEUTRO,41.6
22:41:41,1764294101.21626,TRADOORUSDT,1.984,22.5,NEUTRO,45.9
22:41:41,1764294101.224217,TRADOORUSDT,1.984,22.5,NEUTRO,45.9
22:41:42,1764294102.844565,YALAUSDT,0.04502,18.3,NEUTRO,47.9
22:41:42,1764294102.860741,YALAUSDT,0.04502,18.3,NEUTRO,47.9
22:41:44,1764294104.462203,MUSDT,1.2188,10.4,NEUTRO,45.8
22:41:44,1764294104.470604,MUSDT,1.2188,10.4,NEUTRO,45.8
22:41:46,1764294106.117764,CLOUSDT,0.3291,13.8,NEUTRO,45.8
22:41:46,1764294106.123819,CLOUSDT,0.3293,13.8,NEUTRO,44.6
22:41:47,1764294107.785969,SQDUSDT,0.08435,32.7,NEUTRO,41.7
22:41:47,1764294107.793556,SQDUSDT,0.08431,32.7,NEUTRO,41.7
22:41:49,1764294109.407538,TRADOORUSDT,1.981,22.5,NEUTRO,47.8
22:41:49,1764294109.415636,TRADOORUSDT,1.982,22.5,NEUTRO,47.7
22:41:51,1764294111.010144,YALAUSDT,0.0451,18.3,NEUTRO,47.6
22:41:51,1764294111.02966,YALAUSDT,0.0451,18.3,NEUTRO,47.6
22:41:52,1764294112.75486,MUSDT,1.2157,10.4,NEUTRO,45.9
22:41:52,1764294112.762652,MUSDT,1.2158,10.4,NEUTRO,45.9
22:41:54,1764294114.369369,CLOUSDT,0.3293,13.8,NEUTRO,44.7
22:41:54,1764294114.376703,CLOUSDT,0.3292,13.8,NEUTRO,45.8
22:41:56,1764294116.003925,SQDUSDT,0.08424,32.7,NEUTRO,41.2
22:41:56,1764294116.01389,SQDUSDT,0.08424,32.7,NEUTRO,41.2
22:41:57,1764294117.654338,TRADOORUSDT,1.981,22.5,NEUTRO,47.9
22:41:57,1764294117.665699,TRADOORUSDT,1.982,22.5,NEUTRO,47.8
22:41:59,1764294119.323954,YALAUSDT,0.04508,18.3,NEUTRO,48.0
22:41:59,1764294119.336986,YALAUSDT,0.04508,18.3,NEUTRO,48.0
22:42:00,1764294120.943791,MUSDT,1.2162,10.4,NEUTRO,46.1
22:42:00,1764294120.951256,MUSDT,1.2236,10.4,NEUTRO,48.1
22:42:02,1764294122.575201,CLOUSDT,0.3291,13.8,NEUTRO,45.8
22:42:02,1764294122.579838,CLOUSDT,0.3291,13.8,NEUTRO,45.8
22:42:04,1764294124.165399,SQDUSDT,0.08431,32.7,NEUTRO,41.8
22:42:04,1764294124.192509,SQDUSDT,0.08419,32.7,NEUTRO,41.3
22:42:05,1764294125.875985,TRADOORUSDT,1.981,22.5,NEUTRO,47.8
22:42:05,1764294125.877305,TRADOORUSDT,1.981,22.5,NEUTRO,47.8
22:42:07,1764294127.486265,YALAUSDT,0.04518,18.3,NEUTRO,47.2
22:42:07,1764294127.493019,YALAUSDT,0.04515,18.3,NEUTRO,47.1
22:42:09,1764294129.101981,MUSDT,1.2228,10.4,NEUTRO,47.9
22:42:09,1764294129.104061,MUSDT,1.2228,10.4,NEUTRO,47.9
22:42:10,1764294130.681485,CLOUSDT,0.3287,13.8,NEUTRO,46.0
22:42:10,1764294130.758469,CLOUSDT,0.3287,13.8,NEUTRO,46.0
22:42:12,1764294132.234825,SQDUSDT,0.0837,32.7,NEUTRO,41.3
22:42:12,1764294132.307759,SQDUSDT,0.0838,32.7,NEUTRO,41.4
22:42:13,1764294133.816726,TRADOORUSDT,1.985,22.5,NEUTRO,47.0
22:42:13,1764294133.870091,TRADOORUSDT,1.991,22.5,NEUTRO,47.3
22:42:15,1764294135.534922,YALAUSDT,0.04506,18.3,NEUTRO,47.7
22:42:15,1764294135.536358,YALAUSDT,0.04513,18.3,NEUTRO,47.4
22:42:17,1764294137.168063,MUSDT,1.2217,10.4,NEUTRO,46.4
22:42:17,1764294137.169496,MUSDT,1.2212,10.4,NEUTRO,46.3
22:42:18,1764294138.934133,CLOUSDT,0.329,13.8,NEUTRO,46.5
22:42:18,1764294138.943715,CLOUSDT,0.3296,13.8,NEUTRO,44.4
22:42:40,1764294160.704409,SQDUSDT,0.08407,32.7,NEUTRO,42.4
22:42:42,1764294162.161189,TRADOORUSDT,1.992,22.5,NEUTRO,46.1
22:42:43,1764294163.627188,YALAUSDT,0.0452,18.3,NEUTRO,46.9
22:42:45,1764294165.09952,MUSDT,1.2255,10.4,NEUTRO,46.5
22:42:46,1764294166.623463,CLOUSDT,0.3294,13.8,NEUTRO,44.8
22:42:48,1764294168.115081,SQDUSDT,0.08407,32.7,NEUTRO,42.6
22:42:49,1764294169.58476,TRADOORUSDT,1.989,22.5,NEUTRO,46.2
22:42:51,1764294171.060414,YALAUSDT,0.0452,18.3,NEUTRO,46.6
22:42:52,1764294172.53796,MUSDT,1.2277,10.4,NEUTRO,48.6
22:42:54,1764294174.003508,CLOUSDT,0.3293,13.8,NEUTRO,46.3
22:42:55,1764294175.449362,SQDUSDT,0.08378,32.7,NEUTRO,42.5
22:42:56,1764294176.913644,TRADOORUSDT,1.984,22.5,NEUTRO,46.7
22:42:58,1764294178.378605,YALAUSDT,0.04518,18.3,NEUTRO,47.0
22:42:59,1764294179.828612,MUSDT,1.2259,10.4,NEUTRO,47.3
22:43:01,1764294181.299498,CLOUSDT,0.3292,13.8,NEUTRO,47.1
22:43:02,1764294182.77411,SQDUSDT,0.08357,32.7,NEUTRO,42.4
22:43:04,1764294184.31281,TRADOORUSDT,1.989,22.5,NEUTRO,46.5
22:43:05,1764294185.782631,YALAUSDT,0.045,18.3,NEUTRO,48.4
22:43:07,1764294187.282247,MUSDT,1.2242,10.4,NEUTRO,47.0
22:43:08,1764294188.744088,CLOUSDT,0.3277,13.8,NEUTRO,47.5
22:43:10,1764294190.201294,SQDUSDT,0.08341,32.7,NEUTRO,41.8
22:43:11,1764294191.655841,TRADOORUSDT,1.982,22.5,NEUTRO,50.0
22:43:13,1764294193.111116,YALAUSDT,0.04492,18.3,NEUTRO,49.9
